,price,bedrooms
36513,537000.0,3
36612,662500.0,4
36629,680000.0,4
36671,739000.0,3
36689,760000.0,3
36691,760000.0,4
36700,783000.0,4
36717,835000.0,4
36742,880000.0,4
36771,962000.0,5
36815,1110000.0,5
36818,1120000.0,5
36842,1330000.0,5
37044,530000.0,3
37047,535000.0,3
37058,546000.0,3
37063,559000.0,3
37074,580000.0,2
37144,695000.0,4
37145,696000.0,5
37147,699000.0,2
37176,740000.0,3
37196,765000.0,4
37213,799000.0,4
37221,805000.0,4
37256,862000.0,4
37272,900000.0,3
37284,925000.0,5
37292,940000.0,4
37334,1050000.0,5
37350,1100000.0,5
37406,1310000.0,5
37407,1310000.0,3
37432,1390000.0,5
37534,3270000.0,4
37761,360000.0,2
37821,452000.0,3
37933,596000.0,3
38039,710000.0,4
38052,730000.0,4
38064,750000.0,3
38067,760000.0,4
38128,910000.0,4
38142,965000.0,4
38157,1030000.0,4
38244,1950000.0,5
38248,2575000.0,5
38463,488000.0,3
38470,500000.0,3
38504,545000.0,3
38534,590000.0,4
38589,675000.0,4
38595,682000.0,4
38636,750000.0,4
38693,875000.0,4
38701,895000.0,5
38718,935000.0,4
38906,320000.0,2
38971,430200.0,2
38982,445000.0,3
39009,485000.0,3
39019,509000.0,3
39034,521000.0,3
39092,590000.0,3
39110,615000.0,4
39113,620000.0,5
39118,625000.0,4
39121,630000.0,3
39146,661000.0,3
39173,715000.0,5
39194,745000.0,4
39210,775000.0,3
39262,922000.0,3
39271,960000.0,4
39310,1180000.0,4
39559,405000.0,3
39649,535000.0,3
39697,598000.0,3
39709,612999.0,3
39765,687000.0,4
39801,745000.0,3
39806,755000.0,4
39857,924051.0,4
39881,1025000.0,4
39896,1172000.0,4
40158,432000.0,3
40172,455000.0,3
40224,520000.0,3
40260,558100.0,3
40286,585000.0,3
40344,640000.0,5
40345,640000.0,4
40365,660000.0,4
40377,675000.0,4
40386,698000.0,3
40443,790000.0,3
40554,1125000.0,4
40567,1190000.0,5
40772,485000.0,3
40796,539000.0,3
40869,645000.0,3
40870,645000.0,3
40901,690000.0,4
40904,695000.0,4
40928,725000.0,4
40945,755000.0,3
40957,772000.0,4
40978,810000.0,5
40985,820000.0,3
40990,825000.0,4
40994,830000.0,3
41026,900000.0,4
41059,980000.0,4
41062,990000.0,3
41071,1010000.0,3
41122,1240000.0,4
41133,1280000.0,3
41178,1500000.0,5
41186,1525000.0,5
41459,306000.0,1
41649,550000.0,3
41675,585000.0,3
41817,750000.0,5
41825,761500.0,4
41835,780000.0,4
41952,1215000.0,4
42172,433000.0,3
42240,540000.0,3
42271,585000.0,3
42312,635000.0,3
42316,640000.0,4
42388,735000.0,3
42477,960000.0,4
42572,2100000.0,5
42783,460000.0,2
42895,606810.0,4
42909,620000.0,4
42925,638000.0,4
42952,680000.0,4
42963,695000.0,5
42991,750000.0,4
43062,900000.0,4
43083,1000000.0,4
43094,1040000.0,3
43111,1131000.0,5
43337,398000.0,3
43398,510000.0,3
43403,520000.0,3
43449,580000.0,3
43456,587000.0,3
43484,617000.0,4
43487,621000.0,4
43533,700000.0,5
43559,745000.0,4
43575,770000.0,4
43592,820000.0,3
43639,930000.0,3
43651,975000.0,3
43976,405000.0,3
43989,418000.0,3
44006,432500.0,3
44103,525000.0,3
44118,540000.0,3
44121,545000.0,3
44129,550000.0,3
44152,575000.0,2
44329,776000.0,4
44395,880000.0,5
44406,902000.0,4
44504,1315000.0,3
44535,1700000.0,4
44623,140000.0,3
44708,492000.0,3
44764,580000.0,3
44794,620000.0,3
44810,642500.0,4
44811,645000.0,3
44852,681002.0,4
44907,755000.0,4
44918,772500.0,3
44984,875000.0,4
44997,890000.0,3
45001,899000.0,3
45012,905000.0,4
45029,950000.0,3
45038,965000.0,5
45063,1010000.0,4
45070,1026000.0,3
45099,1121000.0,4
45231,1650000.0,4
45234,1675000.0,3
45364,1425000.0,4
45614,520000.0,3
45664,577500.0,3
45667,580000.0,3
45693,607000.0,3
45751,675000.0,4
45757,682800.0,4
45777,719000.0,4
45792,738000.0,4
45801,742000.0,4
45809,768000.0,4
45831,800000.0,5
45863,870000.0,4
46159,480000.0,3
46187,505000.0,3
46218,541000.0,3
46225,550000.0,3
46285,620000.0,3
46315,650000.0,4
46319,655000.0,3
46338,685000.0,4
46395,780500.0,3
46397,785000.0,4
46426,855000.0,4
46429,860000.0,5
46716,440000.0,3
46742,475000.0,4
46749,485000.0,3
46768,516250.0,3
46864,635000.0,3
46886,656000.0,4
46909,685000.0,4
46987,785000.0,3
46988,790000.0,4
47065,1100000.0,4
47108,1480000.0,5
47116,1545000.0,3
47152,2190000.0,3
47352,431000.0,3
47367,460000.0,3
47420,551000.0,3
47460,610000.0,4
47470,625000.0,4
47527,735000.0,4
47534,745000.0,4
47666,1405000.0,5
48030,563000.0,3
48035,565000.0,3
48062,600000.0,4
48077,620000.0,3
48082,625000.0,3
48091,637000.0,3
48092,638500.0,4
48144,700000.0,3
48161,715000.0,2
48223,805000.0,4
48253,870000.0,3
48311,1100000.0,5
48335,1250000.0,5
48356,1400000.0,4
48558,517500.0,3
48583,561000.0,3
48601,600000.0,4
48636,630000.0,4
48662,655000.0,3
48670,662000.0,3
48682,682000.0,3
48737,780000.0,5
48750,801000.0,4
48793,864000.0,3
48802,877500.0,4
48805,880000.0,4
48861,1001000.0,2
48889,1120000.0,4
48989,1735000.0,4
49110,1775000.0,4
49301,450000.0,3
49341,509000.0,3
49400,565000.0,3
49454,610000.0,3
49513,685000.0,3
49514,685000.0,3
49566,770000.0,3
49597,835000.0,4
49650,970000.0,3
49702,1350000.0,4
49923,458000.0,3
49942,500000.0,3
49969,542000.0,3
49975,550000.0,3
50053,660000.0,4
50061,665000.0,3
50078,695000.0,4
50079,700000.0,4
50080,700000.0,3
50123,745000.0,4
50142,795000.0,4
50179,870000.0,4
50498,470000.0,3
50513,484000.0,3
50535,510000.0,3
50548,525000.0,3
50551,527000.0,4
50610,606000.0,3
50611,607000.0,4
50648,660000.0,4
50735,835000.0,3
50748,860000.0,5
50778,930000.0,4
50793,1030000.0,4
50959,300000.0,1
50999,400000.0,2
51140,640000.0,5
51160,677000.0,3
51203,740000.0,5
51224,790000.0,4
