,price,bedrooms
58486,385000.0,2
58530,476000.0,3
58815,340000.0,2
59027,855000.0,3
59600,439900.0,2
60170,370000.0,2
60636,375000.0,3
61079,470000.0,3
61130,565000.0,3
61456,420000.0,3
61466,437500.0,2
61501,502000.0,3
61661,1060000.0,3
61848,380000.0,3
61947,525000.0,3
62075,720000.0,3
62562,410000.0,3
62659,547000.0,3
62679,575000.0,3
63058,520000.0,3
63159,712000.0,4
63417,460000.0,3
63497,590000.0,3
63956,650000.0,4
64337,510000.0,3
64461,691000.0,4
65085,440000.0,2
65160,530000.0,3
65552,411000.0,3
65653,550000.0,3
65993,382500.0,3
66033,440000.0,2
66084,529000.0,3
66118,587000.0,3
66232,755000.0,3
66280,908000.0,3
66641,550000.0,4
66986,430000.0,2
67001,481000.0,3
67112,990000.0,4
67286,325000.0,1
67380,480000.0,3
68289,460000.0,3
68314,505000.0,3
68338,537500.0,3
68389,610000.0,4
68670,345000.0,2
69127,300000.0,2
69254,475000.0,2
69262,485000.0,2
69324,585000.0,3
69705,522500.0,3
70130,386000.0,2
70183,479000.0,3
70689,507000.0,3
70925,1090000.0,3
71130,442500.0,3
71137,450000.0,2
71346,786000.0,3
71597,405000.0,2
71664,515000.0,3
72203,460000.0,3
72343,595000.0,3
73338,355000.0,1
73364,402000.0,2
73914,405000.0,2
73955,458000.0,3
73991,505000.0,3
74017,540000.0,4
74424,345000.0,2
74438,383500.0,2
74455,410000.0,2
74472,435000.0,3
74492,480000.0,3
75055,490000.0,3
75059,496000.0,3
75127,587000.0,3
75243,795000.0,3
75689,570000.0,3
76198,495000.0,3
76238,561000.0,3
76332,708000.0,3
77012,410000.0,3
77607,371000.0,2
77648,420000.0,3
77669,450000.0,2
77794,643000.0,3
78220,495000.0,3
78694,330000.0,2
78696,332000.0,2
78768,430000.0,2
78926,600000.0,3
79441,423000.0,3
79537,522500.0,3
79637,655000.0,3
79706,748000.0,4
80012,410000.0,2
80035,467000.0,3
80352,1020000.0,4
80878,500000.0,3
80894,515000.0,3
80910,527500.0,3
81897,360000.0,2
82480,432500.0,3
82652,690000.0,3
83053,430000.0,2
83076,455000.0,3
83142,525000.0,3
83415,888000.0,4
84652,560000.0,3
84773,745000.0,4
85151,540000.0,3
85302,750000.0,3
85567,350000.0,2
85630,455000.0,2
85726,555000.0,3
86221,428500.0,3
86228,436000.0,3
86438,635000.0,2
87259,1820000.0,3
88179,441000.0,2
