,price,bedrooms
110919,175000.0,1
110953,320000.0,1
110965,343000.0,1
110975,365000.0,1
110990,385000.0,2
111017,425000.0,2
111067,515000.0,2
111457,360000.0,2
111462,370000.0,2
111482,400000.0,2
111497,420000.0,2
111528,460000.0,2
111801,872500.0,3
112002,338000.0,2
112017,374000.0,1
112018,375000.0,2
112564,380000.0,2
113058,307000.0,1
113061,315000.0,1
113153,452500.0,2
113170,470000.0,2
113485,934000.0,2
114179,308000.0,1
114222,388000.0,1
114419,655000.0,2
114444,695000.0,2
114711,247000.0,1
114714,261000.0,1
114724,290000.0,1
114743,335000.0,2
114812,465000.0,2
114842,515000.0,2
115209,175000.0,1
115792,330000.0,1
115795,335000.0,1
115826,398000.0,1
116284,239000.0,1
116466,510000.0,3
116622,683000.0,2
117428,265000.0,1
117431,285000.0,1
117432,285000.0,2
117503,402250.0,2
117527,437500.0,1
117605,545000.0,2
117801,840000.0,2
118033,375000.0,3
118052,400000.0,2
118087,445000.0,1
118098,459950.0,2
118115,480000.0,3
118129,490500.0,2
118514,290000.0,1
118543,367500.0,3
118603,450000.0,2
119053,292000.0,1
119079,348500.0,1
119082,370000.0,2
119198,545000.0,2
119603,250000.0,1
119626,310000.0,2
119654,365500.0,1
119665,375000.0,2
119691,402000.0,1
119725,440000.0,3
121682,299000.0,1
121684,307000.0,1
121728,385000.0,1
121747,410000.0,1
121993,756500.0,3
122267,284000.0,1
122278,310000.0,2
122293,360000.0,1
122360,458000.0,1
122395,497500.0,2
122482,630000.0,2
123072,650000.0,3
123549,475000.0,2
123649,570000.0,2
123709,642000.0,2
123717,650000.0,2
123913,955000.0,3
124837,380000.0,2
124861,412000.0,1
125154,950000.0,2
125330,265000.0,1
125683,856000.0,3
125910,367500.0,1
126130,690000.0,2
126434,265000.0,1
126440,290000.0,1
126442,294000.0,1
126453,325000.0,1
126546,490000.0,2
127037,300000.0,1
127065,340000.0,2
127124,425000.0,3
127330,650000.0,2
127652,430000.0,1
127658,456000.0,1
128467,519950.0,2
128862,239000.0,2
128969,431000.0,3
129631,610000.0,3
130002,277000.0,1
130019,315000.0,1
130134,500000.0,2
130316,715000.0,2
131378,310000.0,3
131401,350000.0,3
131429,390500.0,2
132019,215000.0,1
132024,245000.0,2
132028,267500.0,2
132037,280000.0,1
132550,181000.0,0
132564,295000.0,2
132571,311000.0,1
132587,360000.0,1
132590,362000.0,2
133243,432000.0,1
133739,265000.0,2
133858,455000.0,3
133946,555000.0,3
133986,590000.0,2
134054,670000.0,2
135176,430000.0,3
135681,341500.0,2
135707,385000.0,2
136235,282000.0,1
136272,366500.0,2
136432,565000.0,3
136862,310000.0,1
136905,395000.0,2
137446,300000.0,3
137459,310000.0,2
137504,375000.0,1
137522,400000.0,2
138814,252000.0,1
138821,260000.0,1
138841,312000.0,1
138843,325000.0,2
138869,370000.0,1
138874,373000.0,2
138889,393788.0,2
138901,410000.0,2
138903,415000.0,2
139301,862500.0,2
139526,350000.0,2
139532,360000.0,1
139558,405000.0,2
139560,405000.0,2
139571,425000.0,2
139605,465000.0,2
139989,260000.0,1
139992,272000.0,2
140002,310000.0,2
140029,365000.0,1
140080,450000.0,1
140486,289500.0,2
140522,365000.0,2
140586,457500.0,3
140627,520000.0,2
140633,530000.0,2
141001,199000.0,0
141002,200000.0,1
141046,340000.0,2
141061,360000.0,1
141065,365500.0,1
141201,520000.0,2
